"Year ended 30 June","Beer (L)","Wine (L)","Spirits(b) (L)","Cider (L)","Total (L)"
"1960-61","7.06","1.16","1.12",,"9.34"
"1961-62","7.03","1.16","1.19",,"9.38"
"1962-63","7.09","1.18","1.20",,"9.47"
"1963-64","7.32","1.22","1.25",,"9.79"
"1964-65","7.54","1.22","1.34",,"10.10"
"1965-66","7.52","1.30","1.18",,"10.0"
"1966-67","7.69","1.43","1.17",,"10.29"
"1967-68","7.92","1.55","1.31",,"10.78"
"1968-69","8.15","1.67","1.30",,"11.12"
"1969-70","8.35","1.79","1.44",,"11.58"
"1970-71","8.43","1.72","1.44",,"11.59"
"1971-72","8.36","1.71","1.51",,"11.58"
"1972-73","8.59","1.85","1.71",,"12.15"
"1973-74","9.18","2.05","1.71",,"12.94"
"1974-75","9.22","2.24","1.63",,"13.09"
"1975-76","8.98","2.35","1.56",,"12.89"
"1976-77","8.96","2.39","1.71",,"13.06"
"1977-78","8.77","2.42","1.79",,"12.98"
"1978-79","8.47","2.75","1.44",,"12.66"
"1979-80","8.52","2.84","1.36",,"12.72"
"1980-81","8.29","2.96","1.47",,"12.72"
"1981-82","8.21","3.08","1.54",,"12.83"
"1982-83","7.73","3.15","1.55",,"12.43"
"1983-84","7.45","3.24","1.47",,"12.16"
"1984-85","6.79","3.33","1.57",,"11.69"
"1985-86","6.82","3.36","1.65",,"11.83"
"1986-87","6.55","3.25","1.53",,"11.33"
"1987-88","6.62","3.20","1.60",,"11.42"
"1988-89","6.62","2.97","1.66",,"11.25"
"1989-90","6.52","2.86","1.64",,"11.02"
"1990-91","6.29","2.77","1.51",,"10.57"
"1991-92","5.82","2.89","1.43",,"10.14"
"1992-93","5.51","2.85","1.49",,"9.85"
"1993-94","5.51","2.90","1.75",,"10.15"
"1994-95","5.46","2.88","1.63",,"9.98"
"1995-96","5.32","2.87","1.62",,"9.81"
"1996-97","5.31","2.98","1.71",,"10.00"
"1997-98","5.22","3.11","1.82",,"10.15"
"1998-99","5.11","3.15","1.78",,"10.04"
"1999-2000","5.08","3.25","1.66",,"9.99"
"2000-01","5.13","3.27","1.82",,"10.22"
"2001-02","4.87","3.26","1.88",,"10.01"
"2002-03","5.04","3.38","2.02",,"10.44"
"2003-04","4.77","3.48","2.08",,"10.32"
"2004-05","4.67","3.56","2.18","0.07","10.49"
"2005-06","4.68","3.57","2.18","0.07","10.50"
"2006-07","4.69","3.75","2.26","0.06","10.76"
"2007-08","4.69","3.71","2.29","0.06","10.76"
"2008-09","4.68","3.99","2.07","0.10","10.84"
"2009-10","4.51","4.04","2.03","0.13","10.70"
"2010-11","4.30","3.93","2.05","0.16","10.44"
"2011-12","4.14","3.88","1.95","0.17","10.15"
"2012-13","4.04","3.79","1.95","0.23","10.00"
"2013-14","4.02","3.76","1.84","0.28","9.90"
"2014-15","3.76","3.80","1.79","0.33","9.69"
"2015-16","3.87","3.79","1.83","0.30","9.80"
"2016-17","3.68","3.74","1.79","0.27","9.48"
"2017-18","3.71","3.67","1.89","0.24","9.51"
