Year,Country,Value
2000,France,82.5
2001,France,77.9
2002,France,87.3
2003,France,105.6
2004,France,110.7
2005,France,111.5
2006,France,123.6
2007,France,145.3
2008,France,156.1
2009,France,119.4
2010,France,129.1
2011,France,152.1
2012,France,153.1
2013,France,156.7
2014,France,154.1
2015,France,137.3
2016,France,136.1
2017,France,152.8
2018,France,163.9
2019,France,162.3
2020,France,147.2
2021,France,193.0
2022,France,197.6
2023,France,196.8
2024,France,197.8
2000,Italy,41.4
2001,Italy,42.9
2002,Italy,48.7
2003,Italy,56.6
2004,Italy,65.7
2005,Italy,68.4
2006,Italy,74.0
2007,Italy,87.1
2008,Italy,95.7
2009,Italy,85.9
2010,Italy,90.5
2011,Italy,106.2
2012,Italy,103.8
2013,Italy,114.8
2014,Italy,115.2
2015,Italy,98.3
2016,Italy,102.5
2017,Italy,111.5
2018,Italy,121.7
2019,Italy,120.4
2020,Italy,121.2
2021,Italy,142.9
2022,Italy,139.8
2023,Italy,141.4
2024,Italy,147.8
2000,Portugal,45.4
2001,Portugal,41.9
2002,Portugal,46.1
2003,Portugal,57.5
2004,Portugal,62.8
2005,Portugal,61.9
2006,Portugal,62.8
2007,Portugal,76.9
2008,Portugal,79.7
2009,Portugal,71.0
2010,Portugal,76.3
2011,Portugal,86.0
2012,Portugal,86.1
2013,Portugal,92.0
2014,Portugal,92.8
2015,Portugal,78.7
2016,Portugal,77.6
2017,Portugal,85.3
2018,Portugal,98.9
2019,Portugal,89.2
2020,Portugal,95.0
2021,Portugal,106.5
2022,Portugal,96.5
2023,Portugal,96.5
2024,Portugal,100.1
2000,Spain,28.1
2001,Spain,28.4
2002,Spain,30.3
2003,Spain,39.7
2004,Spain,45.6
2005,Spain,46.9
2006,Spain,48.5
2007,Spain,59.2
2008,Spain,70.5
2009,Spain,56.6
2010,Spain,52.7
2011,Spain,64.8
2012,Spain,66.7
2013,Spain,72.7
2014,Spain,73.5
2015,Spain,63.8
2016,Spain,63.7
2017,Spain,70.2
2018,Spain,75.2
2019,Spain,65.3
2020,Spain,64.6
2021,Spain,73.4
2022,Spain,66.9
2023,Spain,65.8
2024,Spain,67.4
2000,Austria,4.7
2001,Austria,5.9
2002,Austria,6.8
2003,Austria,9.4
2004,Austria,12.9
2005,Austria,12.6
2006,Austria,12.4
2007,Austria,17.4
2008,Austria,20.2
2009,Austria,20.1
