Year,Country,Value
2000,France,6.936830397304415
2001,France,6.898453130337188
2002,France,7.013941677853435
2003,France,8.279535474739026
2004,France,9.643601880576966
2005,France,9.451948753814852
2006,France,9.579811353546205
2007,France,11.528736534656575
2008,France,12.756189703081583
2009,France,11.323082893511332
2010,France,10.746558509891756
2011,France,13.008131723651292
2012,France,12.236155140300927
2013,France,12.970027003655861
2014,France,12.495674118650198
2015,France,11.36131671889738
2016,France,12.267347363844756
2017,France,14.081276169390788
2018,France,16.817561897702003
2019,France,14.643144673076923
2020,France,13.050843487822878
2021,France,14.667224809734513
2022,France,14.551855654980196
2023,France,15.627582683436264
2024,France,0.0
2000,Italy,3.332122719746606
2001,Italy,2.85261258680483
2002,Italy,3.527303880184154
2003,Italy,4.7254628703931
2004,Italy,5.469986034457016
2005,Italy,6.018826295289962
2006,Italy,6.400376239333094
2007,Italy,8.55404348918054
2008,Italy,8.33804192831723
2009,Italy,6.000532122038194
2010,Italy,5.755602558677825
2011,Italy,6.834239656562634
2012,Italy,6.468143667011796
2013,Italy,7.011149532336542
2014,Italy,6.672383487132539
2015,Italy,5.93202996456275
2016,Italy,5.6005688880109865
2017,Italy,5.956970388255178
2018,Italy,6.84513135327525
2019,Italy,6.241326693612204
2020,Italy,5.518189893617859
2021,Italy,8.576485655400267
2022,Italy,8.386301733898305
2023,Italy,9.155732543693947
2024,Italy,10.009605176684698
2000,Portugal,8.965423090702936
2001,Portugal,6.395742731149956
2002,Portugal,5.548470188473746
2003,Portugal,6.2756948860944535
2004,Portugal,8.014427775367976
2005,Portugal,7.23835561883483
2006,Portugal,5.714476983029209
2007,Portugal,7.9289016574153734
2008,Portugal,10.825416717008947
2009,Portugal,10.006630556593201
2010,Portugal,10.163244459997541
2011,Portugal,10.4147170368911
2012,Portugal,10.20985190079853
2013,Portugal,15.139573334342911
2014,Portugal,15.978155786633842
2015,Portugal,12.470656036893338
2016,Portugal,11.8063697356784
2017,Portugal,15.052088977990932
2018,Portugal,19.065466751170046
2019,Portugal,18.426112783541072
2020,Portugal,18.43931937381723
2021,Portugal,19.85394739397536
2022,Portugal,19.22326307572209
2023,Portugal,18.24228028503563
2024,Portugal,0.0
2000,Spain,1.4690344114407405
2001,Spain,1.2415962998973435
2002,Spain,1.5635383455537795
2003,Spain,2.284259308275249
2004,Spain,2.564622631438617
2005,Spain,3.224746787808533
2006,Spain,4.32364679281631
2007,Spain,7.085978208518646
2008,Spain,7.599160614526899
2009,Spain,4.267193090684763
2010,Spain,3.5516105763765244
2011,Spain,4.004497215896635
2012,Spain,4.552079687153024
2013,Spain,5.1672095655620485
2014,Spain,4.238979763732229
2015,Spain,4.163972430775505
2016,Spain,4.27153413499725
2017,Spain,4.5747458506312
2018,Spain,5.5136088021759155
2019,Spain,5.078936911698623
2020,Spain,4.092609766745178
2021,Spain,5.999731685066308
2022,Spain,6.25905827528882
2023,Spain,0.0
2024,Spain,0.0
2000,Austria,13.342107728693913
2001,Austria,15.673491259014488
2002,Austria,16.425811536884797
2003,Austria,18.53436852532923
2004,Austria,22.782898972264412
2005,Austria,22.166796553484733
2006,Austria,23.058593778111817
2007,Austria,28.401554627147235
2008,Austria,29.961790653110093
2009,Austria,26.65296885011277
2010,Austria,22.08020754699157
2011,Austria,24.640696482070297
2012,Austria,25.70846322970154
2013,Austria,27.30077661061528
2014,Austria,25.706566372560577
2015,Austria,20.392318309880988
2016,Austria,26.316375856587204
